sku,name,brand,color,size,mrp,price,quantity
TSHIRT-RED-001,Classic Cotton T-Shirt,StreamThreads,Red,M,799,499,20
TSHIRT-BLK-002,Classic Cotton T-Shirt,StreamThreads,Black,L,799,549,12
POLO-GRN-003,Heritage Polo,StreamThreads,Green,XL,1299,999,8
JEANS-BLU-032,Slim Fit Jeans,DenimWorks,Blue,32,1999,1599,15
JEANS-BLK-030,Slim Fit Jeans,DenimWorks,Black,30,1999,1499,18
DRESS-PNK-S,Floral Summer Dress,BloomWear,Pink,S,2499,2199,10
DRESS-YLW-M,Floral Summer Dress,BloomWear,Yellow,M,2499,1999,7
SHOE-WHT-7,Everyday Sneakers,StrideLab,White,UK7,2999,2499,25
SHOE-NVY-8,Everyday Sneakers,StrideLab,Navy,UK8,2999,2499,19
BAG-TOTE-BEI,Canvas Tote Bag,CarryCo,Beige,OneSize,899,699,35
BELT-BRN-38,Leather Belt,CarryCo,Brown,38,1199,899,40
SAREE-RED-001,Banarasi Silk Saree,Ethniq,Red,Free,6999,5999,5
KURTA-BLU-M,Cotton Kurta,Ethniq,Blue,M,1599,1299,22
JKT-OLV-L,Utility Jacket,UrbanEdge,Olive,L,3499,2999,6
TSHIRT-GRY-S,Graphic Tee,UrbanEdge,Grey,S,899,699,30
TSHIRT-WHT-XS,Graphic Tee,UrbanEdge,White,XS,899,649,14
SHIRT-CHK-M,Checked Casual Shirt,ButtonUp,Multi,M,1799,1399,16
SHIRT-PLN-L,Plain Oxford Shirt,ButtonUp,Blue,L,1899,1499,12
HOODIE-CHR-XL,Cozy Hoodie,SnugWear,Charcoal,XL,2199,1799,11
HOODIE-CRM-M,Cozy Hoodie,SnugWear,Cream,M,2199,1699,9
TSHIRT-ERR-101,Invalid Price High,ErrorBrand,Red,M,799,899,5
JEANS-NEG-QTY-102,Slim Fit Jeans,DenimWorks,Blue,32,1999,1599,-3
MISSING-BRAND-103,No Brand Shirt,,Black,L,1299,999,10
MISSING-PRICE-104,Price Missing Tee,SomeBrand,Green,S,599,,4
MISSING-MRP-105,No MRP Jacket,UrbanEdge,Olive,L,,2999,2
,No SKU,GearCo,Blue,M,499,399,7
NONNUMERIC-MRP-106,Weird MRP,Quirk,Yellow,S,one_thousand,899,3
MISSING-NAME-107,,BrandX,White,XS,799,699,5

